from,to,cost
1,50,7.790898279512518
1,51,8.62784203685426
1,52,9.353842884126156
1,53,9.484120596497036
1,54,10.605711215877712
1,55,10.912560096983508
1,56,10.95832124666858
1,57,12.37741606363269
1,58,13.759408601342214
1,59,15.805325335045946
1,60,15.926811821988924
1,61,14.791147862646573
1,62,13.568443198802388
1,63,12.333970149453213
1,64,11.195514542985995
1,65,10.674136647195613
1,66,9.646594063746319
1,67,8.889088895355874
1,68,6.148267953898716
1,69,3.5774256502597104
1,70,3.081089969243872
1,71,2.4402600337013647
1,72,2.458676086233997
1,73,2.80940344895258
1,74,3.4219882286761667
1,75,3.6481511455676205
1,76,4.361900581675253
1,77,5.632136375364899
1,78,3.8157553344614445
1,79,3.518057191140362
1,80,3.3517978165528364
1,81,3.7619766755922193
1,82,12.26506294339569
1,83,10.496486808999355
1,84,9.624947877990454
1,85,8.36363087835788
1,86,6.996263349986917
1,87,6.207393826439001
1,88,5.223187173623303
1,89,4.008361758482707
1,90,2.6195455228329108
1,91,2.0121542438167213
1,92,4.068027392146158
1,93,9.327358453586154
1,94,8.378421340494963
1,95,7.5111724498389085
1,96,6.776769395944909
1,97,5.640360266088223
1,98,14.94208906424526
1,99,13.655686201962553
1,100,1.5775254986174916
1,101,3.435206412526532
1,102,5.08046072534611
1,103,2.3745507593341677
1,104,4.548117341641616
1,105,1.3075779637179874
1,106,1.748966798110278
1,107,2.9284771295494516
1,108,9.106885652119765
1,109,8.53227906256894
1,110,8.708992833072768
1,111,8.815987755295465
1,112,9.036387492034292
1,113,9.184283255461295
1,114,9.722877881809435
1,115,10.303695991363758
1,116,9.54934874759675
1,117,9.39260338813326
1,118,9.297365223919895
2,0,16.95735758404457
2,1,0.8635472330921115
2,3,2.116787976332301
2,4,3.0296340778238
2,5,3.8479251930912026
2,6,4.195734285325279
2,7,4.91485235920033
2,8,6.3154015658804346
2,9,6.952230326586466
2,10,7.322752154900528
2,11,7.553734712723333
2,12,7.823483946016007
2,13,2.152517860653576
2,14,2.9176329040382334
